Domain,Vertical,AF Lev.1,AF Lev.2,Rephrased Function Name,Function ID,UID
Market & Sales Domain,Operations Readiness & Support,Sales and Sales Force Management,Sales Territory Management,Sales Territory Definition,1276,3900
Market & Sales Domain,Strategy Management,Market Strategy Management,Market Information Management,Market Information Gathering,1280,3901
Market & Sales Domain,Strategy Management,Market Strategy Management,Market Sales and Channel Development,Sales Forecast Analyzing,370,3902
Market & Sales Domain,Strategy Management,Market Strategy Management,Market and Channel Strategy Definition,Sales Behaviors Modeling,1102,3903
Market & Sales Domain,Strategy Management,Market Strategy Management,Marketing Campaign Plan Definition,Marketing Campaign Contact Rule Definition,1095,3904
Market & Sales Domain,Strategy Management,Marketing Strategic Analysis,Marketing Campaign Analysis,Campaign Performance Analyzing,345,3905
Market & Sales Domain,Strategy Management,Marketing Strategic Analysis,Market and Channel Analysis,Market and Channel Data Collection,1090,3906
Market & Sales Domain,Business Value Development,Marketing Campaign Development,Marketing Campaign Design,Marketing Campaign Policy Rules Definition,1097,3907
Market & Sales Domain,Operations Readiness & Support,Marketing Campaign Management,Marketing Campaign Execution,Campaign Workflow Execution,352,3908
Market & Sales Domain,Operations Readiness & Support,Marketing Campaign Management,Marketing Campaign Performance Tracking and Analysis,Real-time Campaign Performance Tracking,356,3909
Market & Sales Domain,Business Value Development,Sales Commission Management,Sales Commission Development,Sales Commission Management,357,3910
Market & Sales Domain,Business Value Development,Advertising Management,Advertisement Management,Advertisement Targeting Specification,1314,3911
Market & Sales Domain,Operations Readiness & Support,Sales Commissioning Management,Sales Account Management,Sales Opportunities Dispatching,371,3912
Market & Sales Domain,Operations Readiness & Support,Sales Commissioning Management,Sales Commission Calculation,Commissioning Management,392,3913
Market & Sales Domain,Operations Readiness & Support,Sales Commissioning Management,Sales Commission Repository Management,Commission Statements Browsing,367,3914
Market & Sales Domain,Fulfillment,Sales Management,Sales Lead Management,Funnel Creation,374,3915
Market & Sales Domain,Fulfillment,Sales Management,Framework Agreement Management,Customer Framework Agreement Definition,1179,3916
Market & Sales Domain,Assurance,Sales Performance Management,Sales Reporting,Sales and Marketing Reporting,389,3917
Market & Sales Domain,Business Value Development,Marketing Campaign Development,Marketing Campaign Workflow Design,Campaign Workflow Initiation,351,4082
Market & Sales Domain,Fulfillment,Sales Management,Opportunity Management,Sales Opportunity Management,372,4083
Market & Sales Domain,Assurance,Sales Performance Management,Sales Analysis,Sales Metrics Calculation,387,4084
Market & Sales Domain,Assurance,Sales Performance Management,Market and Channel Performance Tracking,Market and Channel Performance Follow-up,1099,4109
Product Domain,Business Value Development,Product Specification & Offering Management,Ordering Rules Development,Customer Order Rules Configuration,721,2004
Product Domain,Business Value Development,Product Specification & Offering Management,Ordering Rules Development,Centralized Ordering Rules Management,210,2005
Product Domain,Assurance,Product Performance Management,Product Performance Reporting,Open SLA Issues Reporting,295,2006
Product Domain,Assurance,Product Performance Management,Product Performance Analysis,Product Performance Analysis,1206,2007
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Customer Support Case Management,169,2011
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Customer Problem Status On-Request Reporting,224,2012
Product Domain,Strategy Management,Product Specification & Offering Strategy Definition & Analysis,Product Specification & Offering Strategy Management,Product Strategy to Proposition Alignment,417,2130
Product Domain,Business Value Development,Product Specification & Offering Management,Product Test Specification Development,Product Test Configuration Design,1074,2131
Product Domain,Billing,Product Usage Management,Product Balance Management,Account Balance Thresholds Actions Configuration,46,2264
Product Domain,Billing,Product Usage Management,Product Balance Management,Balance Information Reporting,47,2265
Product Domain,Billing,Product Usage Management,Product Balance Management,Charge Calculation Balance Updating,48,2266
Product Domain,Billing,Product Usage Management,Product Balance Management,Balance Management Spending-limits Enforcement,49,2267
Product Domain,Billing,Product Usage Management,Product Balance Management,Balance Management Activities Logging,50,2268
Product Domain,Billing,Product Usage Management,Product Balance Management,Balance Replenishment,51,2269
Product Domain,Billing,Product Usage Management,Product Balance Management,Roll-over and Cyclic Balance Policies Configuration,52,2270
Product Domain,Billing,Product Usage Management,Product Balance Management,Charges To Multiple Balances Splitting,53,2271
Product Domain,Billing,Product Usage Management,Product Balance Management,Multiple Simultaneous Balance Updating,54,2272
Product Domain,Billing,Rating and Follow up,Bill Calculation,Bill Charges Aggregation,183,2276
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Event Charge/Credit Calculation,126,2277
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Calculated Charges/Credits Proration,127,2280
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Late Arrival Usage Charges/Credits Recalculation,128,2282
Product Domain,Billing,Rating and Follow up,Bill Calculation,Customer Access Bill Statement Splitting,254,2283
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Case Correlation,98,2317
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Case Reporting,100,2318
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Case Tracking Case State Reporting,105,2319
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Case Management Information Retrieval,107,2320
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Case Tracking,110,2321
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Case Management Change Notification,1059,2326
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Resolution,Customer SLA Violation Quantification,298,2331
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,Product Modeling Support,407,2344
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Commitment Tracking Result Determining,158,2346
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Commitment Tracking Terms & Conditions Evaluation,159,2347
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Commitment Tracking Data Collection,160,2348
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Charging/Rating Recalculation,186,2349
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Discount Calculation,300,2379
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Problem Resolution Support,402,2390
Product Domain,Operations Readiness & Support,Product Management,Loyalty Events Management,Loyalty Product Events Collection,1128,2401
Product Domain,Fulfillment,Product Configuration & Activation,Offer and Product Configuration,Mass Transaction Ordering,343,2403
Product Domain,Billing,Rating and Follow up,Bill Calculation,Customer Bill Usage and Charges Viewing,256,2404
Product Domain,Operations Readiness & Support,Product Management,Product Repository Management,Assigned Products Maintenance,180,2419
Product Domain,Fulfillment,Product Configuration & Activation,Offer and Product Configuration,Customer Order Capturing,120,2428
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,Product Specification and Offering Change Auditing,1078,2431
Product Domain,Assurance,Product Problem Management,Product Problem Diagnose,Customer Problem Resolution Support,219,2439
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Orchestration,Service Trouble Ticket Identification,1211,2440
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Case Definition and Configuration,99,2445
Product Domain,Operations Readiness & Support,Product Management,Product Repository Management,Product Storage,197,2458
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Bill-time Fee Calculation,58,2475
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Split Bill Charge Distribution,60,2477
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,External Product Offering Development,1292,2484
Product Domain,Fulfillment,Product Configuration & Activation,Offer and Product Configuration,Offer and Product Configuration,207,2486
Product Domain,Fulfillment,Product Configuration & Activation,Offer and Product Configuration,Inter Product Dependency Identification,182,2498
Product Domain,Fulfillment,Product Configuration & Activation,Offer and Product Configuration,Customer Loyalty Subscription Configuration,236,2499
Product Domain,Assurance,Product Performance Management,Product Performance Commitment Follow-up,Customer SLA Issue Customer Validation,291,2508
Product Domain,Assurance,Product Performance Management,Product Performance Commitment Follow-up,Customer SLA Issue Receiving,292,2509
Product Domain,Assurance,Product Performance Management,Product Performance Commitment Follow-up,Customer SLA Issue Service / Entitlement Validation,293,2510
Product Domain,Assurance,Product Problem Management,Product Problem Diagnose,Subscribed Products' Services and Resources Verification,222,2514
Product Domain,Assurance,Product Performance Management,Product Performance Commitment Follow-up,Customer SLA Service to Contract Analyzing,287,2516
Product Domain,Assurance,Product Performance Management,Product Performance Commitment Follow-up,Customer SLA Analysis Preparation,288,2517
Product Domain,Billing,Product Usage Management,Product Balance Management,Balance Data Retrieval,43,2519
Product Domain,Assurance,Product Performance Management,Product Performance Commitment Follow-up,Customer SLA Issue Information Collection,290,2520
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification Lifecycle Management,Product Specification Version Control,1342,2581
Product Domain,Operations Readiness & Support,Product Test Management,Product Test Execution,Product Test Execution,1131,2584
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Case Tracking Threshold Notification,106,2623
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,Marketing & Offer Strategies Implementation (Deleted),405,2627
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,New Product Introduction and Maintenance (Deleted),406,2628
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,Product Requirement Specification (Deleted),409,2631
Product Domain,Assurance,Product Performance Management,Product Performance Reporting,Service Level Performance Reporting,294,2633
Product Domain,Business Value Development,Product Specification & Offering Management,Product Supervision Policy Management,Product Performance Severity Definition,1205,2640
Product Domain,Strategy Management,Product Specification & Offering Strategy Definition & Analysis,Product Specification & Offering Strategy Management,Product Propositions Operations Planning,416,2641
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,Product Specification Design,1076,2937
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Orchestration,Related Customer Facing Service Determination,1210,3401
Product Domain,Fulfillment,Product Configuration & Activation,Offer and Product Configuration,Customer Product Proposal Creation,320,3549
Product Domain,Fulfillment,Product Configuration & Activation,Product Activation,Mass Product Pre-activation,1199,3580
Product Domain,Strategy Management,Product Analysis,Product Profitability Analysis,Product Revenue Reporting,414,3584
Product Domain,Strategy Management,Product Analysis,Product QoS Analysis,Customer QoS Satisfaction Reporting,1127,3589
Product Domain,Strategy Management,Product Specification & Offering Strategy Definition & Analysis,Product Specification & Offering Strategy Analysis,Product Specification Performance Management,1340,3593
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,Product Offering Design,1077,3601
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,Product Compatibility Checking,263,3602
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,Customer Loyalty Rules Management,238,3603
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,External Product Specification Development,1291,3604
Product Domain,Operations Readiness & Support,Product Management,Product Agreement Management,Product Agreement Storage,363,3618
Product Domain,Operations Readiness & Support,Product Operational Analysis,Product Usage Tracking,Product Specification Usage Forecast,1193,3628
Product Domain,Operations Readiness & Support,Product Operational Analysis,Pushed Offer Management,Product Specification & Offering Simulation,1196,3631
Product Domain,Assurance,Product Performance Management,Product Performance Supervision,Product Performance Supervision,1208,3635
Product Domain,Fulfillment,Product Configuration & Activation,Offer and Product Configuration,Customer SLA Preferences Capturing,278,3752
Product Domain,Strategy Management,Product Analysis,Product Profitability Analysis,Product Cost Management,412,3778
Product Domain,Strategy Management,Product Analysis,Product Profitability Analysis,Product Cost Reporting,413,3779
Product Domain,Strategy Management,Product Analysis,Product Diagnostic and Test Quality Loop,Product Test Analysis,1124,3780
Product Domain,Strategy Management,Product Specification & Offering Strategy Definition & Analysis,Product Specification & Offering Strategy Management,Product Strategy/Propositions Creation,418,3782
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,Product Catalog Browsing,123,3785
Product Domain,Business Value Development,Product Specification & Offering Management,Product Test Specification Development,Product Test Restitution Design,1075,3786
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification Lifecycle Management,Product Specification Recalls Support,1293,3788
Product Domain,Operations Readiness & Support,Product Management,Loyalty Account Management,Customer Loyalty Communication,237,3790
Product Domain,Operations Readiness & Support,Product Test Management,Product Test Execution,Product Test Authorization Check,1130,3793
Product Domain,Operations Readiness & Support,Product Operational Analysis,Product Usage Tracking,Product Specification Usage On-the-fly Analysis,1194,3795
Product Domain,Assurance,Product Performance Management,Product Performance Reporting,SLA Violation Notification,296,3798
Product Domain,Assurance,Product Performance Management,Product Performance Commitment Follow-up,Customer SLA Monitoring,289,3799
Product Domain,Assurance,Product Problem Management,Product Problem Diagnose,Knowledge Support Access,270,3800
Product Domain,Assurance,Product Problem Management,Product Problem Diagnose,Customer Problem Performance and Quality Data Diagnostics,1060,3801
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Orchestration,Product Trouble Ticket Prioritization,1212,3802
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Archived Cases Retrieval,97,3803
Product Domain,Billing,Product Usage Management,Product Balance Management,Temporary Balance Units Reservation,44,3804
Product Domain,Billing,Product Usage Management,Product Balance Management,Minimum Allowable Balance Setting,45,3805
Product Domain,Billing,Rating and Follow up,Bill Calculation,Currency Conversion,184,3806
Product Domain,Billing,Rating and Follow up,Bill Calculation,Customer Usage and Charges Report Access,253,3807
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Charging Event Accumulation,125,3808
Product Domain,Fulfillment,Product Configuration & Activation,Product Activation,Customer Loyalty Subscription Activation,1200,3951
Product Domain,Strategy Management,Product Analysis,Product Usage Analysis,Business Operational Usage Analyzing,695,3952
Product Domain,Strategy Management,Product Analysis,Product Diagnostic and Test Quality Loop,Product Test Improvement Identification,1125,3953
Product Domain,Strategy Management,Product Analysis,Product QoS Analysis,Product QoS Dashboard Analysis,1126,3954
Product Domain,Strategy Management,Product Specification & Offering Strategy Definition & Analysis,Product Specification & Offering Strategy Analysis,Product Strategy Performance Reporting,419,3955
Product Domain,Strategy Management,Product Specification & Offering Strategy Definition & Analysis,Product Specification & Offering Strategy Management,Product Strategy Linking,415,3956
Product Domain,Business Value Development,Product Specification & Offering Management,Product Supervision Policy Management,Product Supervision Policy Indicators Definition,1204,3957
Product Domain,Business Value Development,Product Specification & Offering Management,Ordering Rules Development,Order Rules Retrieval,722,3958
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,Product Specification and Offering Repository Management,1079,3959
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Realization,Product Specification Change Notification,1341,3960
Product Domain,Business Value Development,Product Specification & Offering Management,Product Test Specification Development,Product Test Specification Design,1073,3961
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification & Offering Development,Product Agreement Specification Design,360,3962
Product Domain,Business Value Development,Product Specification & Offering Management,Product Specification Lifecycle Management,Product Retirement,408,3963
Product Domain,Operations Readiness & Support,Product Management,Loyalty Account Management,Customer Loyalty Score Balance Management,198,3964
Product Domain,Operations Readiness & Support,Product Management,Product Repository Management,Product Configuration Check,1201,3965
Product Domain,Operations Readiness & Support,Product Management,Loyalty Events Management,Loyalty Product Rules Application,1129,3966
Product Domain,Operations Readiness & Support,Product Management,Product Agreement Management,Product Agreement Implementation,361,3967
Product Domain,Operations Readiness & Support,Product Test Management,Product Test Execution,Product Test Reporting,1132,3968
Product Domain,Operations Readiness & Support,Product Operational Analysis,Fraud Detection,Product Fraud Detection,1133,3969
Product Domain,Operations Readiness & Support,Product Operational Analysis,Product Usage Tracking,Product Usage Collection,1134,3970
Product Domain,Operations Readiness & Support,Product Operational Analysis,Pushed Offer Management,Pushed Offer Identification,1195,3971
Product Domain,Assurance,Product Performance Management,Product Performance Supervision,Product Performance Measurement,1207,3972
Product Domain,Assurance,Product Performance Management,Product Performance Analysis,Product Capacity Analyzing,411,3973
Product Domain,Assurance,Product Performance Management,Product Performance Reporting,Customer Service Access,244,3974
Product Domain,Assurance,Product Performance Management,Product Performance Commitment Follow-up,Customer SLA Violation Tracking,299,3975
Product Domain,Assurance,Product Problem Management,Product Problem Diagnose,Root Cause Diagnostics,218,3977
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Orchestration,Related Resource Determination,1209,3978
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Management,Case Archiving,96,3979
Product Domain,Billing,Product Usage Management,Product Balance Management,Balance Expiration Dates Setting,42,3980
Product Domain,Billing,Rating and Follow up,Bill Calculation,On Demand Bill Calculation,61,3981
Product Domain,Billing,Rating and Follow up,Tariff Calculation and Rating,Price and Discount Calculation,55,3982
Product Domain,Strategy Management,Product Analysis,Product Profitability Analysis,Product Group Profitability Reporting,846,4087
Product Domain,Fulfillment,Product Configuration & Activation,Offer and Product Configuration,Product Order Initialization,1123,4088
Product Domain,Assurance,Product Problem Management,Product Trouble Ticket Resolution,Customer SLA Violation Remedy Initiation,297,4110
Customer Domain,"Assurance,Billing,Fulfillment",Welcome and Interaction,Customer Interaction Management,Customer Interaction Logging,196,2000
Customer Domain,"Assurance,Billing,Fulfillment",Customer Loyalty and Retention,Customer Value Management,Customer Value Model Development,1118,2001
Customer Domain,Fulfillment,Customer Order Management,Customer Order Repository Management,Customer Order Reporting,172,2002
Customer Domain,Fulfillment,Customer Order Management,Customer Order Repository Management,Customer Support Jeopardy Notification,175,2003
Customer Domain,Billing,Customer Financial Management,Loan Management,Loan Closure,1256,2050
Customer Domain,Billing,Customer Financial Management,Loan Management,Loan Transfer,1258,2051
Customer Domain,Billing,Customer Financial Management,Bill Dispute,Bill Dispute Investigation Support,38,2054
Customer Domain,Billing,Customer Financial Management,Bill Dispute,Bill Dispute Customer Notification,39,2055
Customer Domain,"Assurance,Billing,Fulfillment",Customer Loyalty and Retention,Loyalty Program Management,Loyalty Program Rewards Specification,1298,2088
Customer Domain,"Assurance,Billing,Fulfillment",Customer Loyalty and Retention,Loyalty Program Management,Loyalty Program Partnerships Management,1299,2089
Customer Domain,"Assurance,Billing,Fulfillment",Customer Loyalty and Retention,Customer Risk Management,Customer Credit Management,187,2092
Customer Domain,"Assurance,Billing,Fulfillment",Customer Loyalty and Retention,Customer Risk Management,Customer Churn Risk Identification,243,2093
Customer Domain,"Assurance,Billing,Fulfillment",Welcome and Interaction,Customer Context Management,Internal Recommended Action Guiding,240,2100
Customer Domain,"Assurance,Billing,Fulfillment",Welcome and Interaction,Customer Context Management,Customer Support Conversational Guiding,280,2101
Customer Domain,"Assurance,Billing,Fulfillment",Customer Loyalty and Retention,Loyalty Program Management,Loyalty Program Rules and Mechanisms Specification,1295,2128
Customer Domain,Assurance,Customer Problem Support,Customer Assistance,Customer Inquiries and Issues to Partner Responding,636,2129
Customer Domain,Strategy Management,Customer Strategic Analysis,Customer Behavior Analysis,Customer Behavior Change Analyzing,229,2133
Customer Domain,"Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management",Aggregated Function TBD,Aggregated Function TBD L2,Catalog Entity Integrity Rules Control (deleted),10,2232
Customer Domain,Billing,Customer Financial Management,Payment Management,Collection Payment Plan Monitoring,157,2252
Customer Domain,Billing,Invoice Management,Invoicing,Bill Image Presentation,65,2254
Customer Domain,Billing,Customer Financial Management,Payment Management,Customer Support Payment Management,171,2255
Customer Domain,Billing,Customer Financial Management,Bill Dispute,Customer Bill Dispute Management,249,2259
Customer Domain,Billing,Customer Financial Management,Bill Dispute,Agreed-upon Dispute Adjustment,301,2260
Customer Domain,Billing,Customer Financial Management,Bill Dispute,Customer Disputes Registration,302,2261
Customer Domain,Billing,Invoice Management,Invoicing,Unbilled Invoice Items Listing,66,2284
Customer Domain,Billing,Invoice Management,Invoicing,Usage Summary and Details Presentation,67,2285
Customer Domain,Billing,Invoice Management,Invoicing,Billing Event Error Correction,78,2286
Customer Domain,Billing,Invoice Management,Invoicing,Billing Event Error Identification,79,2287
Customer Domain,Billing,Invoice Management,Invoicing,Billing Event Error Re-distribution,80,2288
Customer Domain,Billing,Invoice Management,Invoicing,Unbilled Events Categorization,81,2289
Customer Domain,Billing,Invoice Management,Billing Account Administration,Billing Account Price Plan Determining,72,2290
Customer Domain,Billing,Invoice Management,Billing Account Administration,Billing Account Reporting,73,2291
Customer Domain,Billing,Invoice Management,Billing Account Administration,Shared Allowances Charging,74,2292
Customer Domain,Billing,Invoice Management,Billing Account Administration,Billing Accounts Creation,75,2293
Customer Domain,Billing,Invoice Management,Billing Account Administration,Billing Account Structure Configuration,76,2294
Customer Domain,Billing,Invoice Management,Billing Account Administration,Billing Account Information Configuration,77,2295
Customer Domain,Billing,Invoice Management,Billing Account Administration,Customer Bill Viewing,245,2296
Customer Domain,Billing,Invoice Management,Billing Account Administration,Customer Billing Cost Center Analyzing,247,2297
Customer Domain,Billing,Invoice Management,Billing Account Administration,Customer Billing Hierarchies Management,248,2298
Customer Domain,Billing,Invoice Management,Invoicing,Billing Event Processing Distribution,85,2300
Customer Domain,Billing,Invoice Management,Invoicing,Billing Event Processing Enrichment,86,2301
Customer Domain,Billing,Invoice Management,Invoicing,Billing Event Processing Guiding,87,2302
Customer Domain,Billing,Invoice Management,Invoicing,Billing Event Mediation,88,2303
Customer Domain,Billing,Invoice Management,Invoicing,Invoice Balance Calculation,309,2304
Customer Domain,Billing,Invoice Management,Invoicing,Billing Event Aggregation,89,2307
Customer Domain,Billing,Invoice Management,Invoicing,Billing Event Processing Analyzing,90,2308
Customer Domain,Billing,Invoice Management,Invoicing,Customer Bill Usage Classification,246,2309
Customer Domain,Billing,Invoice Management,Invoicing,Customer Billing Usage and Charges Reporting,250,2310
Customer Domain,Billing,Invoice Management,Invoicing,Customer Billing Approving,258,2311
Customer Domain,Operations Readiness & Support,Customer Information Support,Collect and Qualify Customer Information,Customer Information Searching,122,2312
Customer Domain,Operations Readiness & Support,Customer Information Support,Personalize Customer Interaction,Customer Relation Map Exposure  (Deleted),92,2313
Customer Domain,"Assurance,Billing,Fulfillment",Welcome and Interaction,Customer Interaction Management,Solicitation Policy Execution,1115,2314
Customer Domain,Operations Readiness & Support,Customer Information Support,Collect and Qualify Customer Information,Guided Customer Information Capturing,124,2315
Customer Domain,Operations Readiness & Support,Customer Information Support,Collect and Qualify Customer Information,Customer Hierarchy and Group Management,195,2316
Customer Domain,Assurance,Customer Problem Support,Customer Case Workflow Management,Case Workflow Orchestration,111,2322
Customer Domain,Assurance,Customer Problem Support,Customer Case Workflow Management,Customer Problem Verification and Closure,1338,2323
