SpecSync Requirement ID,SpecSync Function,Application Function,Object Type,Object Title,Object Level,Workspace,Status,Description,Relationship Type,Relationship Path,Enhanced Fields Count,Ameff_properties_Function_Description_Link,Ameff_properties_Interface_Description_Link,Ameff_properties_Service_Description_Link,Ameff_properties_TMF_Function_ID
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","Search party","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] HLP-01 Search Contact","","Grant Test","Accepted","","N/A","N/A","43","","","https://confluence.csgicorp.com/spaces/EncompProdDelv/pages/1843473639/HLP-01+Search+Contact",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[POS] Manage Individual Details","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] Search Customer","","Grant Test","Accepted","","N/A","N/A","43","","","https://confluence.csgicorp.com/spaces/EPS/pages/1724439259/Get+Help-00001-Search+and+Validate+Customer+and+Contact+Information",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","Retrieve Individual","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] Manage Customer Details","","Grant Test","Accepted","","N/A","N/A","43","","","https://confluence.csgicorp.com/spaces/EPS/pages/1738421317/Change-00001-Change+Customer+or+Contact+Information+and+Hierarchy",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","Manage customer details","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","Search customer","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[POS] Manage Customer Details","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] HLP03 - Search Customer","","Grant Test","Accepted","","N/A","N/A","43","","","https://confluence.csgicorp.com/spaces/EncompProdDelv/pages/1843018433/HLP-03+Search+Customer",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] Browse Product Catalog","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","Browse Product Catalog","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[POS] Browse Product Catalog","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] Manage Usage","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] Manage Product Inventory","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] Manage Customer Bill","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Service","[Encompass] Manage Account","","Grant Test","Accepted","","N/A","N/A","43","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Interface","[Encompass] TMF622 Product Ordering REST API","","Grant Test","Accepted","","N/A","N/A","36","","https://csgsystems.sharepoint.com/sites/Encompass_poc/Encompass%20Platform%20Release%20Library/apiOrderManagement.pdf?web=1","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Interface","[POS] Configure Product User Interface","","Grant Test","Accepted","","N/A","N/A","36","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Interface","[Encompass] TMF620 Product Catalog Management REST API","","Grant Test","Accepted","","N/A","N/A","36","","https://csgsystems.sharepoint.com/sites/Encompass_poc/Encompass%20Platform%20Release%20Library/apiProductCatalog.pdf?web=1","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Interface","[Encompass] TMF632 Party Management REST API","","Grant Test","Accepted","","N/A","N/A","36","","https://csgsystems.sharepoint.com/sites/Encompass_poc/Encompass%20Platform%20Release%20Library/tmfApi.PartyManagement.pdf?web=1","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Interface","[Encompass] TMF629 Customer Management REST API","","Grant Test","Accepted","","N/A","N/A","36","","https://csgsystems.sharepoint.com/sites/Encompass_poc/Encompass%20Platform%20Release%20Library/tmfApi.CustomerManagement.pdf?web=1","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Interface","[Encompass] Customer Connect User Interface","","Grant Test","Accepted","","N/A","N/A","36","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Interface","[Encompass] TMF635 Usage Management REST API","","Grant Test","Accepted","","N/A","N/A","36","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Interface","[Encompass] TMF637 Product Inventory Management REST API","","Grant Test","Accepted","","N/A","N/A","36","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Interface","[Encompass] TMF678 Customer Bill Management REST API","","Grant Test","Accepted","","N/A","N/A","36","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Application Interface","[Encompass] TMF666 Account Management REST API","","Grant Test","Accepted","","N/A","N/A","36","","","",""
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","[POS] Offer and Product Configuration (207)","","Grant Test","Accepted","","N/A","N/A","42","","","","207"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","Individual Information Management","","Grant Test","Accepted","","N/A","N/A","42","https://confluence.csgicorp.com/spaces/GRRV9/pages/1388483969/1.3.6+-+Customer+Information+Management","","","1234"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","Customer Details Management","","Grant Test","Accepted","","N/A","N/A","42","https://confluence.csgicorp.com/spaces/GRRV9/pages/1388483969/1.3.6+-+Customer+Information+Management","","","225"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","Customer Information Searching","","Grant Test","Accepted","","N/A","N/A","42","https://confluence.csgicorp.com/spaces/GRRV9/pages/1388483969/1.3.6+-+Customer+Information+Management","","","122"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","Product Catalog Browsing","","Grant Test","Accepted","","N/A","N/A","42","","","","123"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","[Encompass] Customer Bill Usage and Charges Viewing (256)","","Grant Test","Accepted","","N/A","N/A","42","","","","256"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","[Encompass] Product Storage (197)","","Grant Test","Accepted","","N/A","N/A","42","","","","197"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","[Encompass] Customer Bill Viewing (245)","","Grant Test","Accepted","","N/A","N/A","42","","","","245"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","[Encompass] Billing Account Information Configuration (77)","","Grant Test","Accepted","","N/A","N/A","42","","","","77"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","[POS] Individual Information Management (1234)","","Grant Test","Accepted","","N/A","N/A","42","","","","1234"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","[POS] Customer Details Management (225)","","Grant Test","Accepted","","N/A","N/A","42","","","","225"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","[POS] Customer Information Searching (122)","","Grant Test","Accepted","","N/A","N/A","42","","","","122"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","[POS] Customer Information Presentation (282)","","Grant Test","Accepted","","N/A","N/A","42","","","","282"
"FUNC_083.1, FUNC_083.2, FUNC_083.3, FUNC_083.4, FUNC_083.5, FUNC_083.6","Offer and Product Configuration","Offer and Product Configuration","Related Application Function","[POS] Product Catalog Browsing (123)","","Grant Test","Accepted","","N/A","N/A","42","","","","123"
